top - 09:30:52 up 2 days, 17:21,  1 user,  load average: 0,08, 0,27, 0,39
Tarefas: 264 total,   1 em exec., 216 dormindo,   0 parado,   0 zumbi
%CPU(s):  5,5 us,  2,0 sis,  0,4 ni, 91,8 oc,  0,3 ag,  0,0 ih,  0,1 is  0,0 tr
KB mem :  5986548 total,   794320 livre,  2676912 usados,  2515316 buff/cache
KB swap:  2097148 total,  2093564 livre,     3584 usados,  2785580 mem dispon.

  PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU %MEM    TEMPO+ COMANDO
 2168 mateus    20   0  268920   6024   5460 S   0,0  0,1   0:00.02 gsd-screen+
 2172 mateus    20   0  326348   8284   7308 S   0,0  0,1   0:00.02 gsd-sound
 2179 mateus    20   0  498448  22048  16800 S   0,0  0,4   0:00.22 gsd-wacom
 2185 mateus    20   0  490004  23084  17672 S   0,0  0,4   0:00.25 gsd-xsetti+
 2187 mateus    20   0  349332   6148   5560 S   0,0  0,1   0:00.01 at-spi-bus+
 2195 mateus    20   0  271644   5716   5172 S   0,0  0,1   0:00.02 gsd-a11y-s+
 2196 mateus    20   0  661960  23164  17828 S   0,0  0,4   0:03.76 gsd-color
 2198 mateus    20   0  337484  20688  16032 S   0,0  0,3   0:00.18 gsd-clipbo+
 2203 mateus    20   0  469444  22032  14280 S   0,0  0,4   0:00.20 gsd-dateti+
 2211 mateus    20   0   50056   4304   3704 S   0,0  0,1   0:00.18 dbus-daemon
 2233 mateus    20   0 1129512  62512  23508 S   0,0  1,0   0:00.46 evolution-+
 2235 mateus    20   0  501952  12860  11096 S   0,0  0,2   0:00.02 gsd-printer
 2243 mateus    20   0  220784   6988   6288 S   0,0  0,1   0:00.73 at-spi2-re+
 2276 mateus    20   0  188136   5484   4620 S   0,0  0,1   0:00.15 dconf-serv+
 2279 mateus    20   0  726332  24692  21280 S   0,0  0,4   0:00.05 evolution-+
 2294 mateus    20   0 1010868  26920  23412 S   0,0  0,4   0:00.07 evolution-+
 2306 mateus    20   0  848080  36232  27264 S   0,0  0,6   0:40.98 metacity
 2311 mateus    20   0  818560  51620  36304 S   0,0  0,9   0:11.48 gnome-panel
 2317 mateus    20   0  741156  36796  27352 S   0,0  0,6   0:09.06 gnome-flas+
 2318 mateus    20   0  840212  54132  41036 S   0,0  0,9   0:01.72 nautilus-d+
 2333 mateus    20   0  299908   9068   7392 S   0,0  0,2   0:01.21 gvfs-udisk+
 2338 mateus    20   0  361672   7496   6408 S   0,0  0,1   0:00.04 gvfsd-trash
 2344 mateus    20   0  372000   7824   6952 S   0,0  0,1   0:00.01 gvfs-afc-v+
 2349 mateus    20   0  269020   6136   5484 S   0,0  0,1   0:00.02 gvfs-mtp-v+
